"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","Create user","LMS service","Sat Nov 29 22:08:39 UTC 2025","passed","Sat Nov 29 22:08:40 UTC 2025","Create entity","Users","",""
"","290","Delete exercise","LMS service","Sat Nov 29 22:08:35 UTC 2025","passed","Sat Nov 29 22:08:35 UTC 2025","Delete entity","Exercises","",""
"","18","Get exercises","LMS service","Sat Nov 29 22:08:35 UTC 2025","passed","Sat Nov 29 22:08:35 UTC 2025","Get entities","Exercises","",""
"","18","Create file with empty directory","LMS service","Sat Nov 29 22:08:38 UTC 2025","passed","Sat Nov 29 22:08:38 UTC 2025","Validate entity","Files","",""
"","560","Create user","LMS service","Sat Nov 29 22:08:39 UTC 2025","passed","Sat Nov 29 22:08:40 UTC 2025","Create entity","Users","",""
"","37","Create course","LMS service","Sat Nov 29 22:08:31 UTC 2025","passed","Sat Nov 29 22:08:31 UTC 2025","Create entity","Courses","",""
"","291","Create exercise","LMS service","Sat Nov 29 22:08:33 UTC 2025","passed","Sat Nov 29 22:08:33 UTC 2025","Create entity","Exercises","",""
"","21","Update exercise","LMS service","Sat Nov 29 22:08:34 UTC 2025","passed","Sat Nov 29 22:08:34 UTC 2025","Update entity","Exercises","",""
"","264","Delete file","LMS service","Sat Nov 29 22:08:37 UTC 2025","passed","Sat Nov 29 22:08:37 UTC 2025","Delete entity","Files","",""
"","266","Create file","LMS service","Sat Nov 29 22:08:36 UTC 2025","passed","Sat Nov 29 22:08:36 UTC 2025","Create entity","Files","",""
"","285","Login with correct email and password","LMS service","Sat Nov 29 22:08:30 UTC 2025","passed","Sat Nov 29 22:08:31 UTC 2025","Login","Authentication","",""
"","292","Get exercise","LMS service","Sat Nov 29 22:08:34 UTC 2025","passed","Sat Nov 29 22:08:34 UTC 2025","Get entity","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Sat Nov 29 22:08:39 UTC 2025","passed","Sat Nov 29 22:08:39 UTC 2025","Validate entity","Files","",""
"","299","Update course","LMS service","Sat Nov 29 22:08:32 UTC 2025","passed","Sat Nov 29 22:08:33 UTC 2025","Update entity","Courses","",""
"","27","Get courses","LMS service","Sat Nov 29 22:08:32 UTC 2025","passed","Sat Nov 29 22:08:32 UTC 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Sat Nov 29 22:08:40 UTC 2025","passed","Sat Nov 29 22:08:40 UTC 2025","Get entity","Users","",""
"","541","Create user","LMS service","Sat Nov 29 22:08:38 UTC 2025","passed","Sat Nov 29 22:08:39 UTC 2025","Create entity","Users","",""
"","255","Create file with empty filename","LMS service","Sat Nov 29 22:08:38 UTC 2025","passed","Sat Nov 29 22:08:38 UTC 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Sat Nov 29 22:08:37 UTC 2025","passed","Sat Nov 29 22:08:37 UTC 2025","Get entity","Files","",""
