"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercise","LMS service","Sat Nov 29 10:22:39 UTC 2025","passed","Sat Nov 29 10:22:39 UTC 2025","Get entity","Exercises","",""
"","33","Get courses","LMS service","Sat Nov 29 10:22:37 UTC 2025","passed","Sat Nov 29 10:22:37 UTC 2025","Get entities","Courses","",""
"","26","Update exercise","LMS service","Sat Nov 29 10:22:38 UTC 2025","passed","Sat Nov 29 10:22:38 UTC 2025","Update entity","Exercises","",""
"","23","Create exercise","LMS service","Sat Nov 29 10:22:38 UTC 2025","passed","Sat Nov 29 10:22:38 UTC 2025","Create entity","Exercises","",""
"","35","Create course","LMS service","Sat Nov 29 10:22:36 UTC 2025","passed","Sat Nov 29 10:22:36 UTC 2025","Create entity","Courses","",""
"","12","Get user me","LMS service","Sat Nov 29 10:22:45 UTC 2025","passed","Sat Nov 29 10:22:45 UTC 2025","Get entity","Users","",""
"","549","Create user","LMS service","Sat Nov 29 10:22:44 UTC 2025","passed","Sat Nov 29 10:22:44 UTC 2025","Create entity","Users","",""
"","30","Update course","LMS service","Sat Nov 29 10:22:37 UTC 2025","passed","Sat Nov 29 10:22:37 UTC 2025","Update entity","Courses","",""
"","272","Get file with incorrect file id","LMS service","Sat Nov 29 10:22:44 UTC 2025","passed","Sat Nov 29 10:22:44 UTC 2025","Validate entity","Files","",""
"","291","Create file with empty directory","LMS service","Sat Nov 29 10:22:43 UTC 2025","passed","Sat Nov 29 10:22:43 UTC 2025","Validate entity","Files","",""
"","24","Get exercises","LMS service","Sat Nov 29 10:22:41 UTC 2025","passed","Sat Nov 29 10:22:41 UTC 2025","Get entities","Exercises","",""
"","16","Get file","LMS service","Sat Nov 29 10:22:42 UTC 2025","passed","Sat Nov 29 10:22:42 UTC 2025","Get entity","Files","",""
"","285","Create user","LMS service","Sat Nov 29 10:22:44 UTC 2025","passed","Sat Nov 29 10:22:44 UTC 2025","Create entity","Users","",""
"","259","Delete file","LMS service","Sat Nov 29 10:22:42 UTC 2025","passed","Sat Nov 29 10:22:42 UTC 2025","Delete entity","Files","",""
"","544","Create user","LMS service","Sat Nov 29 10:22:43 UTC 2025","passed","Sat Nov 29 10:22:44 UTC 2025","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Sat Nov 29 10:22:35 UTC 2025","passed","Sat Nov 29 10:22:36 UTC 2025","Login","Authentication","",""
"","22","Create file","LMS service","Sat Nov 29 10:22:41 UTC 2025","passed","Sat Nov 29 10:22:41 UTC 2025","Create entity","Files","",""
"","259","Create file with empty filename","LMS service","Sat Nov 29 10:22:43 UTC 2025","passed","Sat Nov 29 10:22:43 UTC 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Sat Nov 29 10:22:40 UTC 2025","passed","Sat Nov 29 10:22:40 UTC 2025","Delete entity","Exercises","",""
